#,Dataset title,"Domain Name / link (if highlighted in red, it's a duplicate! So don't add it...)","License (default is UNKNOWN)",Release (Issue date) ,Glottocode,Language(s) (or family),Dialect/accent (if known),Subject,Format,Collection Style (Manual Curation vs Crowdsourced(web)) ?,What it is / why we want it (5-25 words),Volume (estimates),"Contains Personal Information? (-1=unlikely, 0=neutral, 1=likely)",Owner,Usage and relation to other datasets ,Comments
133,ntn24,http://ntn24.com/,unknown,multiple releases,,es,colombia,general news,text (web),manual,,unknown,unknown,ntn24,,
134,el correo del orinoco,https://www.elcorreodelorinoco.com/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,el correo del orinoco,,
135,noticias ambientales,https://noticiasambientales.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,noticias ambientales,,
136,"valencia plaza - noticias, información y opinión sobre la sociedad, economía, cultura y deportes de la comunitat valenciana -  valencia plaza",https://valenciaplaza.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,"valencia plaza - noticias, información y opinión sobre la sociedad, economía, cultura y deportes de la comunitat valenciana -  valencia plaza",,
137,el medico interactivo,https://elmedicointeractivo.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,el medico interactivo,,
138,tdworld,https://www.tdworld.com/,unknown,multiple releases,,es,usa,general news,text (web),manual,,unknown,unknown,tdworld,,
139,energy news,https://www.energynews.es/,unknown,multiple releases,,es,spain,environnement,text (web),manual,,unknown,unknown,energy news,,
140,television nacional chilena,http://www.tvn.cl/,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,television nacional chilena,,
141,barriga verde,http://www.barrigaverde.net/,unknown,multiple releases,,es,domenican republic,general news,text (web),manual,,unknown,unknown,barriga verde,,
142,corresponsables,http://www.corresponsables.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,corresponsables,,
143,riesed,http://www.riesed.org/index.php/riesed,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,riesed,,
144,diario abierto,https://www.diarioabierto.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,diario abierto,,
145,primicias digital,http://www.primicias.com.do/,unknown,multiple releases,,es,domenican republic,general news,text (web),manual,,unknown,unknown,primicias digital,,
146,perfil,http://www.perfil.com/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,perfil,,
147,tribunal supremo electoral,http://tse.oep.org.bo/,unknown,multiple releases,,es,bolivia,general news,text (web),manual,,unknown,unknown,tribunal supremo electoral,,
148,diario occidente,http://www.occidente.co/,unknown,multiple releases,,es,colombia,general news,text (web),manual,,unknown,unknown,diario occidente,,
149,imer - instituto mexicano de la radio,http://www.imer.mx/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,imer - instituto mexicano de la radio,,
150,guardia civil,http://www.guardiacivil.es/es/index.html,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,guardia civil,,
151,infolibre,http://www.infolibre.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,infolibre,,
152,presidencia de la república oriental del uruguay,https://www.presidencia.gub.uy//,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,presidencia de la república oriental del uruguay,,
153,financial food,https://financialfood.es/,unknown,multiple releases,,es,spain,medical,text (web),manual,,unknown,unknown,financial food,,
154,el informador,https://www.elinformador.com.ve/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,el informador,,
155,senado de la nación argentina,http://www.senado.gov.ar/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,senado de la nación argentina,,
156,presidencia de el salvador,https://www.presidencia.gob.sv/,unknown,multiple releases,,es,el salvador,general news,text (web),manual,,unknown,unknown,presidencia de el salvador,,
157,el sol de mexico,https://www.elsoldemexico.com.mx/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,el sol de mexico,,
158,diario de león,https://www.diariodeleon.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,diario de león,,
159,postcrescent,http://www.postcrescent.com/,unknown,multiple releases,,es,usa,general news,text (web),manual,,unknown,unknown,postcrescent,,
160,presidencia paraguay,https://www.presidencia.gov.py/,unknown,multiple releases,,es,paraguay,general news,text (web),manual,,unknown,unknown,presidencia paraguay,,
161,elmercuriodigital,http://www.elmercuriodigital.net/search/label/primera?max-results=7,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,elmercuriodigital,,
162,aeh2,http://www.aeh2.org/index.php,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,aeh2,,
163,presidencia de la república del perú,https://www.gob.pe/presidencia/,unknown,multiple releases,,es,peru,general news,text (web),manual,,unknown,unknown,presidencia de la república del perú,,
164,el pais rurales,https://rurales.elpais.com.uy/,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,el pais rurales,,
165,ticbeat,https://www.ticbeat.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,ticbeat,,
166,montevideo,http://www.montevideo.com.uy,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,montevideo,,
167,ambientum,https://www.ambientum.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,ambientum,,
168,csic,http://www.csic.es,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,csic,,
169,el carabobeño,https://www.el-carabobeno.com,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,el carabobeño,,
170,fororecursoshumanos,https://www.fororecursoshumanos.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,fororecursoshumanos,,
171,asamblea nacional,http://www.asamblea.gob.pa/,unknown,multiple releases,,es,panama,general news,text (web),manual,,unknown,unknown,asamblea nacional,,
172,río negro,http://www.rionegro.com.ar/diario/inicio.aspx,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,río negro,,
173,asamblea nacional de nicaragua,http://www.asamblea.gob.ni/,unknown,multiple releases,,es,nicaragua,general news,text (web),manual,,unknown,unknown,asamblea nacional de nicaragua,,
